distance,RPM
1.1058262418697022,2600
1.1842463334304305,2700
1.2644500718254155,2800
1.3463563765624327,2900
1.4298466061311295,3000
1.5148208168528141,3100
1.6011587298418688,3200
1.6887815190641016,3300
1.7775477561709319,3400
1.8673800792050816,3500
1.9581814285587726,3600
2.0498330061671965,3700
2.1422626490884897,3800
2.2353299395438775,3900
2.3289414376014634,4000
2.4230545037309046,4100
2.5175070175826946,4200
2.6122605112386377,4300
2.707204791182415,4400
2.8022562525280286,4500
2.8973334484778883,4600
2.992357131439872,4700
3.0872502874854137,4800
3.1819114368658297,4900
3.276294399569033,5000
3.370301892966658,5100
3.4638928646159988,5200
3.557001849182029,5300
3.6495380006749585,5400
3.7414678646415505,5500
3.8327049464332887,5600
3.9232207683498115,5700
